,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller
,Mixed / non conventional,0.00,-6.00,-4.50,-1.50,0.69,0.00,-233.964,2383.032,-7.07,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,-1.50,-7.50,0.70,0.00,261.258,2383.032,6.43,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,-7.50,1.50,0.80,0.00,-324.718,2383.032,-5.89,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,1.50,-9.00,0.88,0.00,253.058,2383.032,8.32,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,-9.00,3.00,1.09,0.00,-183.655,2383.032,-14.14,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,3.00,-10.50,1.13,0.00,150.224,2383.032,17.99,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,-10.50,4.50,1.20,0.00,-115.792,2383.032,-24.74,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,4.50,-12.00,1.22,0.00,97.160,2383.032,29.87,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,0.00,-6.00,-12.00,6.00,1.26,0.00,-79.873,2383.032,-37.70,0,,1/28/2024 5:25:06 PM,0
,Mixed / non conventional,1.00,-5.00,-2.00,-3.50,0.84,0.00,140.667,2362.063,14.14,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-3.50,-0.50,0.69,0.00,-229.056,2362.063,-7.07,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-0.50,-6.50,0.66,0.00,241.347,2362.063,6.43,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-6.50,2.50,0.76,0.00,-305.303,2362.063,-5.89,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,2.50,-8.00,0.84,0.00,238.133,2362.063,8.32,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-8.00,4.00,1.04,0.00,-173.127,2362.063,-14.14,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,4.00,-9.50,1.08,0.00,141.743,2362.063,17.99,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-9.50,5.50,1.15,0.00,-109.688,2362.063,-24.74,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,5.50,-11.00,1.17,0.00,92.191,2362.063,29.87,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,1.00,-5.00,-11.00,7.00,1.21,0.00,-75.986,2362.063,-37.70,0,,1/28/2024 5:25:08 PM,0
,Mixed / non conventional,2.00,-4.00,-1.00,-2.50,0.83,0.00,139.284,2372.276,14.14,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,-2.50,0.50,0.68,0.00,-227.777,2372.276,-7.07,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,0.50,-5.50,0.65,0.00,240.593,2372.276,6.43,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,-5.50,3.50,0.75,0.00,-303.443,2372.276,-5.89,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,3.50,-7.00,0.83,0.00,236.907,2372.276,8.32,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,-7.00,5.00,1.03,0.00,-172.040,2372.276,-14.14,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,5.00,-8.50,1.07,0.00,141.319,2372.276,17.99,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,-8.50,6.50,1.14,0.00,-109.030,2372.276,-24.74,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,6.50,-10.00,1.16,0.00,91.958,2372.276,29.87,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,2.00,-4.00,-10.00,8.00,1.21,0.00,-75.933,2372.276,-37.70,0,,1/28/2024 5:25:11 PM,0
,Mixed / non conventional,3.00,-3.00,0.00,-1.50,0.87,0.00,146.771,2371.866,14.14,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,-1.50,1.50,0.72,0.00,-240.919,2371.866,-7.07,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,1.50,-4.50,0.68,0.00,252.676,2371.866,6.43,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,-4.50,4.50,0.79,0.00,-316.165,2371.866,-5.89,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,4.50,-6.00,0.87,0.00,246.847,2371.866,8.32,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,-6.00,6.00,1.07,0.00,-179.844,2371.866,-14.14,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,6.00,-7.50,1.12,0.00,147.753,2371.866,17.99,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,-7.50,7.50,1.19,0.00,-113.636,2371.866,-24.74,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,7.50,-9.00,1.21,0.00,95.782,2371.866,29.87,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,3.00,-3.00,-9.00,9.00,1.26,0.00,-78.981,2371.866,-37.70,0,,1/28/2024 5:25:13 PM,0
,Mixed / non conventional,4.00,-2.00,1.00,-0.50,0.79,0.00,131.769,2355.564,14.14,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,-0.50,2.50,0.69,0.00,-231.069,2355.564,-7.07,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,2.50,-3.50,0.70,0.00,257.752,2355.564,6.43,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,-3.50,5.50,0.80,0.00,-319.747,2355.564,-5.89,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,5.50,-5.00,0.89,0.00,250.849,2355.564,8.32,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,-5.00,7.00,1.09,0.00,-180.788,2355.564,-14.14,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,7.00,-6.50,1.14,0.00,148.798,2355.564,17.99,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,-6.50,8.50,1.19,0.00,-113.541,2355.564,-24.74,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,8.50,-8.00,1.21,0.00,95.625,2355.564,29.87,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,4.00,-2.00,-8.00,10.00,1.25,0.00,-78.404,2355.564,-37.70,0,,1/28/2024 5:25:15 PM,0
,Mixed / non conventional,5.00,-1.00,2.00,0.50,0.83,0.00,141.940,2407.949,14.14,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,0.50,3.50,0.71,0.00,-241.148,2407.949,-7.07,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,3.50,-2.50,0.67,0.00,251.956,2407.949,6.43,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,-2.50,6.50,0.75,0.00,-306.567,2407.949,-5.89,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,6.50,-4.00,0.83,0.00,239.931,2407.949,8.32,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,-4.00,8.00,1.02,0.00,-173.213,2407.949,-14.14,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,8.00,-5.50,1.07,0.00,143.374,2407.949,17.99,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,-5.50,9.50,1.13,0.00,-110.146,2407.949,-24.74,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,9.50,-7.00,1.16,0.00,93.155,2407.949,29.87,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,5.00,-1.00,-7.00,11.00,1.20,0.00,-76.754,2407.949,-37.70,0,,1/28/2024 5:25:18 PM,0
,Mixed / non conventional,6.00,0.00,3.00,1.50,0.80,0.00,135.622,2388.635,14.14,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,1.50,4.50,0.69,0.00,-232.552,2388.635,-7.07,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,4.50,-1.50,0.66,0.00,245.082,2388.635,6.43,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,-1.50,7.50,0.73,0.00,-296.565,2388.635,-5.89,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,7.50,-3.00,0.81,0.00,232.118,2388.635,8.32,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,-3.00,9.00,1.00,0.00,-168.491,2388.635,-14.14,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,9.00,-4.50,1.06,0.00,140.546,2388.635,17.99,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,-4.50,10.50,1.12,0.00,-108.386,2388.635,-24.74,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,10.50,-6.00,1.15,0.00,92.163,2388.635,29.87,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,6.00,0.00,-6.00,12.00,1.20,0.00,-75.962,2388.635,-37.70,0,,1/28/2024 5:25:20 PM,0
,Mixed / non conventional,7.00,1.00,4.00,2.50,0.88,0.00,148.273,2372.550,14.14,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,2.50,5.50,0.71,0.00,-236.722,2372.550,-7.07,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,5.50,-0.50,0.64,0.00,236.167,2372.550,6.43,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,-0.50,8.50,0.74,0.00,-297.705,2372.550,-5.89,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,8.50,-2.00,0.82,0.00,233.669,2372.550,8.32,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,-2.00,10.00,0.99,0.00,-166.249,2372.550,-14.14,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,10.00,-3.50,1.04,0.00,137.407,2372.550,17.99,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,-3.50,11.50,1.09,0.00,-104.766,2372.550,-24.74,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,11.50,-5.00,1.13,0.00,89.578,2372.550,29.87,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,7.00,1.00,-5.00,13.00,1.15,0.00,-72.366,2372.550,-37.70,0,,1/28/2024 5:25:23 PM,0
,Mixed / non conventional,8.00,2.00,5.00,3.50,0.90,0.00,148.902,2345.646,14.14,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,3.50,6.50,0.73,0.00,-243.514,2345.646,-7.07,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,6.50,0.50,0.68,0.00,248.221,2345.646,6.43,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,0.50,9.50,0.78,0.00,-309.611,2345.646,-5.89,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,9.50,-1.00,0.86,0.00,242.803,2345.646,8.32,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,-1.00,11.00,1.04,0.00,-173.270,2345.646,-14.14,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,11.00,-2.50,1.10,0.00,143.360,2345.646,17.99,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,-2.50,12.50,1.15,0.00,-109.058,2345.646,-24.74,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,12.50,-4.00,1.18,0.00,92.773,2345.646,29.87,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,8.00,2.00,-4.00,14.00,1.22,0.00,-75.991,2345.646,-37.70,0,,1/28/2024 5:25:25 PM,0
,Mixed / non conventional,9.00,3.00,6.00,4.50,0.92,0.00,152.135,2330.931,14.14,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,4.50,7.50,0.75,0.00,-247.960,2330.931,-7.07,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,7.50,1.50,0.69,0.00,248.598,2330.931,6.43,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,1.50,10.50,0.78,0.00,-307.836,2330.931,-5.89,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,10.50,0.00,0.86,0.00,240.547,2330.931,8.32,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,0.00,12.00,1.04,0.00,-171.343,2330.931,-14.14,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,12.00,-1.50,1.09,0.00,140.884,2330.931,17.99,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,-1.50,13.50,1.14,0.00,-107.237,2330.931,-24.74,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,13.50,-3.00,1.16,0.00,90.871,2330.931,29.87,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,9.00,3.00,-3.00,15.00,1.22,0.00,-75.299,2330.931,-37.70,0,,1/28/2024 5:25:27 PM,0
,Mixed / non conventional,10.00,4.00,7.00,5.50,1.07,0.00,176.450,2337.951,14.14,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,5.50,8.50,0.81,0.00,-267.175,2337.951,-7.07,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,8.50,2.50,0.65,0.00,235.766,2337.951,6.43,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,2.50,11.50,0.73,0.00,-290.001,2337.951,-5.89,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,11.50,1.00,0.80,0.00,225.288,2337.951,8.32,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,1.00,13.00,0.97,0.00,-160.935,2337.951,-14.14,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,13.00,-0.50,1.02,0.00,132.317,2337.951,17.99,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,-0.50,14.50,1.07,0.00,-100.989,2337.951,-24.74,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,14.50,-2.00,1.10,0.00,85.811,2337.951,29.87,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,10.00,4.00,-2.00,16.00,1.16,0.00,-71.727,2337.951,-37.70,0,,1/28/2024 5:25:30 PM,0
,Mixed / non conventional,11.00,5.00,8.00,6.50,0.79,0.00,131.841,2374.224,14.14,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,6.50,9.50,0.65,0.00,-219.067,2374.224,-7.07,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,9.50,3.50,0.61,0.00,226.431,2374.224,6.43,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,3.50,12.50,0.69,0.00,-277.837,2374.224,-5.89,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,12.50,2.00,0.76,0.00,216.312,2374.224,8.32,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,2.00,14.00,0.92,0.00,-155.301,2374.224,-14.14,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,14.00,0.50,0.97,0.00,128.311,2374.224,17.99,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,0.50,15.50,1.02,0.00,-98.314,2374.224,-24.74,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,15.50,-1.00,1.06,0.00,83.866,2374.224,29.87,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,11.00,5.00,-1.00,17.00,1.12,0.00,-70.349,2374.224,-37.70,0,,1/28/2024 5:25:32 PM,0
,Mixed / non conventional,12.00,6.00,9.00,7.50,0.80,0.00,134.969,2396.625,14.14,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,7.50,10.50,0.66,0.00,-223.217,2396.625,-7.07,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,10.50,4.50,0.61,0.00,227.933,2396.625,6.43,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,4.50,13.50,0.69,0.00,-281.033,2396.625,-5.89,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,13.50,3.00,0.76,0.00,219.336,2396.625,8.32,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,3.00,15.00,0.93,0.00,-157.156,2396.625,-14.14,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,15.00,1.50,0.98,0.00,129.985,2396.625,17.99,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,1.50,16.50,1.03,0.00,-99.616,2396.625,-24.74,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,16.50,0.00,1.06,0.00,85.306,2396.625,29.87,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,12.00,6.00,0.00,18.00,1.12,0.00,-71.198,2396.625,-37.70,0,,1/28/2024 5:25:35 PM,0
,Mixed / non conventional,13.00,7.00,10.00,8.50,0.81,0.00,132.947,2313.777,14.14,0,,1/28/2024 5:25:37 PM,0
,Mixed / non conventional,13.00,7.00,8.50,11.50,0.68,0.00,-221.480,2313.777,-7.07,0,,1/28/2024 5:25:37 PM,0
